City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Prince Rupert,CA,2021-07-27 01:34:04,54.3161,-130.3201,57.29,88,90,2.3
153,Roquetas De Mar,ES,2021-07-27 01:33:19,36.7642,-2.6148,77.0,74,0,8.34
154,Kisanga,TZ,2021-07-27 01:34:05,-7.4362,37.7034,64.56,60,10,4.14
155,Rocha,UY,2021-07-27 01:34:05,-34.4833,-54.3333,43.9,91,5,5.39
156,Orem,US,2021-07-27 01:30:07,40.2969,-111.6946,94.86,38,1,1.01
157,Ipixuna,BR,2021-07-27 01:34:05,-1.7625,-48.8043,78.75,76,70,3.44
158,Lata,PT,2021-07-27 01:34:06,40.1629,-8.3327,63.91,98,55,2.66
159,Laguna,US,2021-07-27 01:32:12,38.421,-121.4238,92.43,31,1,4.0
160,Follonica,IT,2021-07-27 01:34:06,42.9263,10.7616,77.9,81,100,9.71
161,Gabu,GW,2021-07-27 01:34:06,12.2833,-14.2167,74.71,93,99,4.36
162,Fomento,CU,2021-07-27 01:34:06,22.1039,-79.7217,74.95,92,53,2.57
163,East London,ZA,2021-07-27 01:32:36,-33.0153,27.9116,63.64,27,5,12.26
164,Santa Cruz,BO,2021-07-27 01:30:06,-17.8,-63.1667,76.46,73,0,10.36
165,Fort Nelson,CA,2021-07-27 01:34:07,58.8053,-122.7002,74.79,33,75,3.44
166,Tasiilaq,GL,2021-07-27 01:34:07,65.6145,-37.6368,46.56,89,27,4.85
167,Hasaki,JP,2021-07-27 01:34:07,35.7333,140.8333,79.09,73,33,18.5
168,Kulaman,PH,2021-07-27 01:34:07,6.4594,124.0892,85.82,68,78,7.92
169,Lazaro Cardenas,MX,2021-07-27 01:34:08,17.9583,-102.2,82.2,81,56,0.78
170,Vallenar,CL,2021-07-27 01:34:08,-28.5708,-70.7581,52.99,56,0,2.21
171,Kudahuvadhoo,MV,2021-07-27 01:34:08,2.6708,72.8944,81.18,74,100,6.78
172,Thaba Nchu,ZA,2021-07-27 01:34:08,-29.2093,26.839,22.78,47,0,5.23
173,Mitsamiouli,KM,2021-07-27 01:34:09,-11.3847,43.2844,75.31,67,13,7.14
174,Wajima,JP,2021-07-27 01:34:09,37.4,136.9,83.08,69,75,4.61
175,Terney,RU,2021-07-27 01:34:10,45.0503,136.6092,80.17,72,97,5.1
176,Natchitoches,US,2021-07-27 01:34:10,31.7668,-93.1335,86.85,84,1,0.0
177,Monte Patria,CL,2021-07-27 01:34:10,-30.6919,-70.9467,53.44,54,0,2.04
178,Lahad Datu,MY,2021-07-27 01:34:10,5.0268,118.327,85.53,67,30,6.33
179,Yeppoon,AU,2021-07-27 01:34:11,-23.1333,150.7333,71.38,65,11,8.34
180,Tiptur,IN,2021-07-27 01:30:22,13.2586,76.4783,69.69,83,100,15.12
181,Jumla,NP,2021-07-27 01:34:11,29.2747,82.1838,67.15,90,100,1.7
182,Arman,RU,2021-07-27 01:34:11,59.7,150.1667,65.26,63,90,4.09
183,Aasiaat,GL,2021-07-27 01:34:12,68.7098,-52.8699,42.1,97,99,13.67
184,Huty,UA,2021-07-27 01:34:12,50.1332,35.3439,65.17,56,10,6.64
185,Chimore,BO,2021-07-27 01:34:12,-16.9833,-65.1333,79.54,52,100,1.66
