City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
243,Port Hedland,AU,78.85,scattered clouds,-20.32,118.57,The Esplanade Hotel
247,Trairi,BR,77.41,clear sky,-3.28,-39.27,janelas do mar
249,Mount Isa,AU,83.97,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
253,Anloga,GH,75.96,overcast clouds,5.79,0.9,Pin Drop Hotel
256,Bayir,TR,75.72,clear sky,37.27,28.22,Hotel Babadag
259,Gorele,TR,76.44,broken clouds,41.03,39.0,Görele Öğretmenevi
261,Pacific Grove,US,76.15,few clouds,36.62,-121.92,Lovers Point Inn
266,Biak,ID,82.89,broken clouds,-0.91,122.88,Penginapan Kim
267,Labuhan,ID,84.78,clear sky,-6.88,112.21,Rumah Naqsa
268,Ugoofaaru,MV,82.62,broken clouds,5.67,73.0,Ungoofaaru Inn
271,Faanui,PF,77.81,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
288,Ourossogui,SN,83.86,overcast clouds,15.61,-13.32,Hotel Sogui
291,Ormara,PK,82.35,overcast clouds,25.21,64.64,Crystal Beach and Camping Resort Ormara
293,Jaffna,LK,84.83,overcast clouds,9.67,80.01,Green Grass Hotel & Restaurant
296,Jalu,LY,79.41,clear sky,29.03,21.55,صاحبة الفخامة
301,Robertsport,LR,77.34,overcast clouds,6.75,-11.37,Kwepunha Retreat
302,Road Town,VG,81.19,clear sky,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
312,Gizo,SB,83.68,light rain,-8.1,156.84,Imagination Island
316,Umarkot,PK,83.26,overcast clouds,25.36,69.74,Student Campus 2
317,San Pedro,PH,82.15,overcast clouds,14.35,121.02,Villa Veronica Resort Private Pool
318,Cockburn Town,TC,81.61,few clouds,21.46,-71.14,Osprey Beach Hotel
319,Yeppoon,AU,76.78,broken clouds,-23.13,150.73,Villa Mar Colina
323,Zirandaro,MX,77.88,overcast clouds,18.45,-100.98,Hotel Pineda
324,Black River,JM,80.6,overcast clouds,18.03,-77.85,Idlers' Rest Beach Hotel
342,Naliya,IN,82.42,overcast clouds,23.27,68.83,jadeja jayendrasinh
344,Springfield,US,84.33,clear sky,37.22,-93.3,Best Western Route 66 Rail Haven
